,activitySphereOnOffenseMomentName,codexArticle_name,Column,short_name
37,Депутат місцевої ради,Порушення вимог фінансового контролю,5234,Порушення вимог фінансового ко...
224,"Посадові особи юридичних осіб публічного права, які не зазначені у пункті 1 частини першої статті 3 Закону",Порушення вимог фінансового контролю,1299,Порушення вимог фінансового ко...
283,Судом не зазначено місце роботи або особа не працює,"Пропозиція, обіцянка або надання неправомірної вигоди службовій особі",1151,"Пропозиція, обіцянка або надан..."
64,Державна служба,Порушення вимог фінансового контролю,872,Порушення вимог фінансового ко...
156,Поліцейський,Порушення вимог фінансового контролю,689,Порушення вимог фінансового ко...
135,"Особи, уповноважені на виконання функцій держави або місцевого самоврядування або прирівняні до них",Порушення вимог фінансового контролю,652,Порушення вимог фінансового ко...
192,Посадові особи місцевого самоврядування,Порушення вимог фінансового контролю,551,Порушення вимог фінансового ко...
147,"Особи, уповноважені на виконання функцій держави або місцевого самоврядування або прирівняні до них",Службове підроблення (порушення не є корупційним),518,Службове підроблення (порушенн...
89,Державної кримінально-виконавчої служби України,Порушення вимог фінансового контролю,494,Порушення вимог фінансового ко...
238,Посадові та службові особи державної лісової охорони або природно-заповідного фонду,Порушення вимог фінансового контролю,427,Порушення вимог фінансового ко...
138,"Особи, уповноважені на виконання функцій держави або місцевого самоврядування або прирівняні до них",Порушення обмежень щодо використання службового становища (виключено з кодексу),411,Порушення обмежень щодо викори...
141,"Особи, уповноважені на виконання функцій держави або місцевого самоврядування або прирівняні до них","Прийняття пропозиції, обіцянки або одержання неправомірної вигоди службовою особою",374,"Прийняття пропозиції, обіцянки..."
212,Посадові особи рядового і начальницького складу Збройних Сил України та військових формувань ЗСУ,Порушення вимог фінансового контролю,300,Порушення вимог фінансового ко...
124,"Особи, уповноважені на виконання функцій держави або місцевого самоврядування або прирівняні до них",Зловживання владою або службовим становищем,262,Зловживання владою або службов...
136,"Особи, уповноважені на виконання функцій держави або місцевого самоврядування або прирівняні до них",Порушення вимог щодо запобігання та врегулювання конфлікту інтересів,241,Порушення вимог щодо запобіган...
268,Присяжні,Порушення вимог фінансового контролю,211,Порушення вимог фінансового ко...
140,"Особи, уповноважені на виконання функцій держави або місцевого самоврядування або прирівняні до них","Привласнення, розтрата майна або заволодіння ним шляхом зловживання службовим становищем",179,"Привласнення, розтрата майна а..."
14,ДСНС,Порушення вимог фінансового контролю,177,Порушення вимог фінансового ко...
175,Посадова особа або працівник в юридичній особі приватного права або у приватного підприємця,"Пропозиція, обіцянка або надання неправомірної вигоди службовій особі",163,"Пропозиція, обіцянка або надан..."
47,Депутат місцевої ради,Службове підроблення (порушення не є корупційним),157,Службове підроблення (порушенн...
