,date,Column,type
121,2021-03-01,556,punishmentStart
122,2021-04-01,504,punishmentStart
123,2021-05-01,478,punishmentStart
124,2021-06-01,577,punishmentStart
125,2021-07-01,97,punishmentStart
0,2011-02-01,2,freq_sentence
1,2011-03-01,3,freq_sentence
2,2011-04-01,8,freq_sentence
3,2011-05-01,6,freq_sentence
4,2011-06-01,17,freq_sentence
5,2011-07-01,169,freq_sentence
6,2011-08-01,201,freq_sentence
7,2011-09-01,272,freq_sentence
8,2011-10-01,345,freq_sentence
9,2011-11-01,325,freq_sentence
10,2011-12-01,318,freq_sentence
11,2012-01-01,226,freq_sentence
12,2012-02-01,330,freq_sentence
13,2012-03-01,401,freq_sentence
14,2012-04-01,381,freq_sentence
15,2012-05-01,415,freq_sentence
16,2012-06-01,444,freq_sentence
17,2012-07-01,381,freq_sentence
18,2012-08-01,254,freq_sentence
19,2012-09-01,318,freq_sentence
20,2012-10-01,311,freq_sentence
21,2012-11-01,293,freq_sentence
22,2012-12-01,364,freq_sentence
23,2013-01-01,178,freq_sentence
24,2013-02-01,285,freq_sentence
25,2013-03-01,243,freq_sentence
26,2013-04-01,271,freq_sentence
27,2013-05-01,237,freq_sentence
28,2013-06-01,305,freq_sentence
29,2013-07-01,273,freq_sentence
30,2013-08-01,209,freq_sentence
31,2013-09-01,197,freq_sentence
32,2013-10-01,242,freq_sentence
33,2013-11-01,215,freq_sentence
34,2013-12-01,195,freq_sentence
35,2014-01-01,109,freq_sentence
36,2014-02-01,193,freq_sentence
37,2014-03-01,214,freq_sentence
38,2014-04-01,263,freq_sentence
39,2014-05-01,317,freq_sentence
40,2014-06-01,374,freq_sentence
41,2014-07-01,317,freq_sentence
42,2014-08-01,236,freq_sentence
43,2014-09-01,202,freq_sentence
44,2014-10-01,219,freq_sentence
45,2014-11-01,133,freq_sentence
46,2014-12-01,126,freq_sentence
47,2015-01-01,130,freq_sentence
48,2015-02-01,282,freq_sentence
49,2015-03-01,362,freq_sentence
50,2015-04-01,342,freq_sentence
51,2015-05-01,232,freq_sentence
52,2015-06-01,295,freq_sentence
53,2015-07-01,231,freq_sentence
54,2015-08-01,157,freq_sentence
55,2015-09-01,156,freq_sentence
56,2015-10-01,156,freq_sentence
57,2015-11-01,122,freq_sentence
58,2015-12-01,99,freq_sentence
59,2016-01-01,87,freq_sentence
60,2016-02-01,214,freq_sentence
61,2016-03-01,265,freq_sentence
62,2016-04-01,221,freq_sentence
63,2016-05-01,196,freq_sentence
64,2016-06-01,252,freq_sentence
65,2016-07-01,209,freq_sentence
66,2016-08-01,155,freq_sentence
67,2016-09-01,104,freq_sentence
68,2016-10-01,108,freq_sentence
69,2016-11-01,106,freq_sentence
70,2016-12-01,90,freq_sentence
71,2017-01-01,81,freq_sentence
72,2017-02-01,128,freq_sentence
73,2017-03-01,172,freq_sentence
74,2017-04-01,157,freq_sentence
75,2017-05-01,166,freq_sentence
76,2017-06-01,171,freq_sentence
77,2017-07-01,274,freq_sentence
78,2017-08-01,271,freq_sentence
79,2017-09-01,283,freq_sentence
80,2017-10-01,327,freq_sentence
81,2017-11-01,275,freq_sentence
82,2017-12-01,211,freq_sentence
83,2018-01-01,266,freq_sentence
84,2018-02-01,292,freq_sentence
85,2018-03-01,331,freq_sentence
86,2018-04-01,346,freq_sentence
87,2018-05-01,380,freq_sentence
88,2018-06-01,454,freq_sentence
89,2018-07-01,407,freq_sentence
90,2018-08-01,301,freq_sentence
91,2018-09-01,388,freq_sentence
92,2018-10-01,403,freq_sentence
93,2018-11-01,417,freq_sentence
94,2018-12-01,322,freq_sentence
95,2019-01-01,352,freq_sentence
96,2019-02-01,487,freq_sentence
97,2019-03-01,536,freq_sentence
98,2019-04-01,551,freq_sentence
99,2019-05-01,510,freq_sentence
100,2019-06-01,484,freq_sentence
101,2019-07-01,566,freq_sentence
102,2019-08-01,507,freq_sentence
103,2019-09-01,536,freq_sentence
104,2019-10-01,369,freq_sentence
105,2019-11-01,134,freq_sentence
106,2019-12-01,141,freq_sentence
107,2020-01-01,233,freq_sentence
108,2020-02-01,422,freq_sentence
109,2020-03-01,391,freq_sentence
110,2020-04-01,299,freq_sentence
111,2020-05-01,382,freq_sentence
112,2020-06-01,516,freq_sentence
113,2020-07-01,539,freq_sentence
114,2020-08-01,463,freq_sentence
115,2020-09-01,581,freq_sentence
116,2020-10-01,514,freq_sentence
117,2020-11-01,465,freq_sentence
118,2020-12-01,388,freq_sentence
119,2021-01-01,381,freq_sentence
120,2021-02-01,509,freq_sentence
121,2021-03-01,549,freq_sentence
122,2021-04-01,474,freq_sentence
123,2021-05-01,441,freq_sentence
124,2021-06-01,438,freq_sentence
