,name,ide,short_name,long_name
167,Вінницький міський суд Вінницької області,289,Вінницький місь...,Вінницький міський суд Вінницької області
410,Луцький міськрайонний суд Волинської області,280,Луцький міськра...,Луцький міськрайонний суд Волинської області
175,Галицький районний суд м. Львова,244,Галицький район...,Галицький районний суд м. Львова
595,Рівненський районний суд Рівненської області,240,Рівненський рай...,Рівненський районний суд Рівненської області
674,Тернопільський міськрайонний суд Тернопільської області,234,Тернопільський ...,Тернопільський міськрайонний суд Тернопільської області
693,Ужгородський міськрайонний суд Закарпатської області,216,Ужгородський мі...,Ужгородський міськрайонний суд Закарпатської області
7,Івано-Франківський міський суд Івано-Франківської області,214,Івано-Франківсь...,Івано-Франківський міський суд Івано-Франківської області
752,Шевченківський районний суд м. Києва,206,Шевченківський ...,Шевченківський районний суд м. Києва
559,Приморський районний суд м. Одеси,194,Приморський рай...,Приморський районний суд м. Одеси
635,Солом'янський районний суд м. Києва,185,Солом'янський р...,Солом'янський районний суд м. Києва
486,Новомосковський міськрайонний суд Дніпропетровської області,182,Новомосковський...,Новомосковський міськрайонний суд Дніпропетровської області
223,Дрогобицький міськрайонний суд Львівської області,181,Дрогобицький мі...,Дрогобицький міськрайонний суд Львівської області
638,Соснівський районний суд м. Черкаси,175,Соснівський рай...,Соснівський районний суд м. Черкаси
422,Малиновський районний суд м. Одеси,175,Малиновський ра...,Малиновський районний суд м. Одеси
767,Яворівський районний суд Львівської області,169,Яворівський рай...,Яворівський районний суд Львівської області
707,Хмельницький міськрайонний суд Хмельницької області,165,Хмельницький мі...,Хмельницький міськрайонний суд Хмельницької області
679,Тисменицький районний суд Івано-Франківської області,161,Тисменицький ра...,Тисменицький районний суд Івано-Франківської області
236,Жовківський районний суд Львівської області,160,Жовківський рай...,Жовківський районний суд Львівської області
594,Рівненський міський суд Рівненської області,158,Рівненський міс...,Рівненський міський суд Рівненської області
302,Київський районний суд м. Харкова,154,Київський район...,Київський районний суд м. Харкова
122,Біляївський районний суд Одеської області,147,Біляївський рай...,Біляївський районний суд Одеської області
449,Мукачівський міськрайонний суд Закарпатської області,147,Мукачівський мі...,Мукачівський міськрайонний суд Закарпатської області
258,Заставнівський районний суд Чернівецької області,142,Заставнівський ...,Заставнівський районний суд Чернівецької області
712,Хотинський районний суд Чернівецької області,142,Хотинський райо...,Хотинський районний суд Чернівецької області
702,Харківський районний суд Харківської області,137,Харківський рай...,Харківський районний суд Харківської області
