,courtName,Column,region
82,Коломийський міськрайонний суд Івано-Франківської області,95,івано-Франківська
83,Каховський міськрайонний суд Херсонської області,94,херсонська
84,Кіровський районний суд м. Кіровограда,93,кіровоградська
85,Вінницький районний суд Вінницької області,93,вінницька
86,Енергодарський міський суд Запорізької області,93,запорізька
87,Уманський міськрайонний суд Черкаської області,92,черкаська
88,Богунський районний суд м. Житомира,92,житомирська
89,Хустський районний суд Закарпатської області,91,закарпатська
90,Черкаський районний суд Черкаської області,91,черкаська
91,Апеляційний суд Чернігівської області,91,чернігівська
92,Путильський районний суд Чернівецької області,91,чернівецька
93,Ленінський районний суд м. Кіровограда,91,кіровоградська
94,Любомльський районний суд Волинської області,91,волинська
95,Волноваський районний суд Донецької області,90,донецька
96,Сватівський районний суд Луганської області,90,луганська
97,Володимир-Волинський міський суд Волинської області,90,волинська
98,Кіцманський районний суд Чернівецької області,89,чернівецька
99,Личаківський районний суд м. Львова,89,львівська
100,Магдалинівський районний суд Дніпропетровської області,89,дніпропетровська
101,Виноградівський районний суд Закарпатської області,89,закарпатська
102,Мелітопольський міськрайонний суд Запорізької області,89,запорізька
103,Кіровський районний суд м. Дніпропетровська,88,дніпропетровська
104,Центральний районний суд м. Миколаєва,87,миколаївська
105,Суворовський районний суд м. Херсона,86,херсонська
106,Червоноградський міський суд Львівської області,86,львівська
107,Ружинський районний суд Житомирської області,85,житомирська
108,Прилуцький міськрайонний суд Чернігівської області,85,чернігівська
109,Гусятинський районний суд Тернопільської області,85,тернопільська
110,Оріхівський районний суд Запорізької області,83,запорізька
111,Новомиргородський районний суд Кіровоградської області,82,кіровоградська
112,Дзержинський міський суд Донецької області,82,донецька
113,Ленінський районний суд м. Харкова,82,харківська
114,Знам'янський міськрайонний суд Кіровоградської області,81,кіровоградська
115,Білопільський районний суд Сумської області,81,сумська
116,Криничанський районний суд Дніпропетровської області,80,дніпропетровська
117,Іллічівський районний суд м. Маріуполя,80,донецька
118,Фрунзенський районний суд м. Харкова,80,харківська
119,Бердичівський міськрайонний суд Житомирської області,80,житомирська
120,Богородчанський районний суд Івано-Франківської області,80,івано-Франківська
121,Вишгородський районний суд Київської області,79,київська
122,Апеляційний суд Черкаської області,79,черкаська
123,Теребовлянський районний суд Тернопільської області,79,тернопільська
124,Маневицький районний суд Волинської області,79,волинська
125,Цюрупинський районний суд Херсонської області,79,херсонська
126,Центрально-Міський районний суд м. Кривого Рогу,79,дніпропетровська
127,Сумський районний суд Сумської області,78,сумська
128,Московський районний суд м. Харкова,78,харківська
129,Козівський районний суд Тернопільської області,78,тернопільська
130,Борщівський районний суд Тернопільської області,78,тернопільська
131,Білозерський районний суд Херсонської області,77,херсонська
132,Октябрський районний суд м. Полтави,77,полтавська
133,Красноармійський міськрайонний суд Донецької області,76,донецька
134,Збаразький районний суд Тернопільської області,76,тернопільська
135,Олександрівський районний суд Кіровоградської області,75,кіровоградська
136,Лановецький районний суд Тернопільської області,75,тернопільська
137,Старосамбірський районний суд Львівської області,75,львівська
138,Городенківський районний суд Івано-Франківської області,75,івано-Франківська
139,Косівський районний суд Івано-Франківської області,75,івано-Франківська
140,Роздільнянський районний суд Одеської області,75,одеська
141,Новоград-Волинський міськрайонний суд Житомирської області,75,волинська
142,Сокальський районний суд Львівської області,74,львівська
143,Рожнятівський районний суд Івано-Франківської області,74,івано-Франківська
144,Волочиський районний суд Хмельницької області,73,хмельницька
145,Сколівський районний суд Львівської області,73,львівська
146,Старокостянтинівський районний суд Хмельницької області,72,хмельницька
147,Петропавлівський районний суд Дніпропетровської області,72,дніпропетровська
148,Подільський районний суд м. Києва,72,київ
149,Добропільський міськрайонний суд Донецької області,72,донецька
150,Самарський районний суд м. Дніпропетровська,72,дніпропетровська
151,Кам'янсько-Дніпровський районний суд Запорізької області,72,запорізька
152,Рахівський районний суд Закарпатської області,72,закарпатська
153,Новоайдарський районний суд Луганської області,72,луганська
154,Апеляційний суд Волинської області,72,волинська
155,Ічнянський районний суд Чернігівської області,72,чернігівська
156,Дубровицький районний суд Рівненської області,71,рівненська
157,Буський районний суд Львівської області,71,львівська
158,Амур-Нижньодніпровський районний суд м. Дніпропетровська,71,дніпропетровська
159,Новопсковський районний суд Луганської області,71,луганська
160,Славутський міськрайонний суд Хмельницької області,71,хмельницька
161,Індустріальний районний суд м. Дніпропетровська,71,дніпропетровська
162,Павлоградський міськрайонний суд Дніпропетровської області,70,дніпропетровська
163,Чугуївський міський суд Харківської області,70,харківська
164,Роменський міськрайонний суд Сумської області,70,сумська
165,Кельменецький районний суд Чернівецької області,70,чернівецька
166,Долинський районний суд Івано-Франківської області,70,івано-Франківська
167,Дзержинський районний суд м. Кривого Рогу,69,дніпропетровська
168,Канівський міськрайонний суд Черкаської області,69,черкаська
169,Берегівський районний суд Закарпатської області,69,закарпатська
170,Скадовський районний суд Херсонської області,69,херсонська
171,Красногвардійський районний суд м. Дніпропетровська,69,дніпропетровська
172,Охтирський міськрайонний суд Сумської області,69,сумська
173,Дунаєвецький районний суд Хмельницької області,69,хмельницька
174,Шосткинський міськрайонний суд Сумської області,69,сумська
175,Дніпровський районний суд м. Дніпродзержинська,68,дніпропетровська
176,Комінтернівський районний суд м. Харкова,68,харківська
177,Рожищенський районний суд Волинської області,68,волинська
178,Кременецький районний суд Тернопільської області,68,тернопільська
179,Зборівський районний суд Тернопільської області,68,тернопільська
180,Апеляційний суд Львівської області,68,львівська
181,Горохівський районний суд Волинської області,68,волинська
182,Вознесенський міськрайонний суд Миколаївської області,68,миколаївська
183,Мостиський районний суд Львівської області,68,львівська
184,Автозаводський районний суд м. Кременчука,68,полтавська
185,Чортківський районний суд Тернопільської області,67,тернопільська
186,Апеляційний суд Київської області,67,київська
187,Комунарський районний суд м. Запоріжжя,67,запорізька
188,Лубенський міськрайонний суд Полтавської області,67,полтавська
189,Галицький районний суд Івано-Франківської області,66,івано-Франківська
190,Апеляційний суд Одеської області,66,одеська
191,Чернігівський районний суд Чернігівської області,66,чернігівська
192,Городоцький районний суд Хмельницької області,66,хмельницька
193,Городнянський районний суд Чернігівської області,66,чернігівська
194,Комінтернівський районний суд Одеської області,65,одеська
195,Селидівський міський суд Донецької області,65,донецька
196,Маловисківський районний суд Кіровоградської області,65,кіровоградська
197,Березнівський районний суд Рівненської області,64,рівненська
198,Ямпільський районний суд Вінницької області,64,вінницька
199,Бабушкінський районний суд м. Дніпропетровська,64,дніпропетровська
200,Шепетівський міськрайонний суд Хмельницької області,64,хмельницька
201,Броварський міськрайонний суд Київської області,63,київська
202,Жидачівський районний суд Львівської області,63,львівська
203,Апеляційний суд Донецької області,63,донецька
204,Дергачівський районний суд Харківської області,63,харківська
205,Новоукраїнський районний суд Кіровоградської області,63,кіровоградська
206,Новотроїцький районний суд Херсонської області,62,херсонська
207,Великобагачанський районний суд Полтавської області,62,полтавська
208,Києво-Святошинський районний суд Київської області,62,київська
209,Василівський районний суд Запорізької області,62,запорізька
210,Деражнянський районний суд Хмельницької області,62,хмельницька
211,Ізюмський міськрайонний суд Харківської області,62,харківська
212,Красилівський районний суд Хмельницької області,62,хмельницька
213,Олександрійський міськрайонний суд Кіровоградської області,61,кіровоградська
214,Запорізький районний суд Запорізької області,61,запорізька
215,Ніжинський міськрайонний суд Чернігівської області,60,чернігівська
216,Апеляційний суд Кіровоградської області,60,кіровоградська
217,Іванківський районний суд Київської області,60,київська
218,Саксаганський районний суд м. Кривого Рогу,59,дніпропетровська
219,Могилів-Подільський міськрайонний суд Вінницької області,59,вінницька
220,Куп'янський міськрайонний суд Харківської області,59,харківська
221,Вовчанський районний суд Харківської області,59,харківська
222,Іршавський районний суд Закарпатської області,59,закарпатська
223,Жовтневий районний суд м. Харкова,59,харківська
224,Жовтневий районний суд м. Запоріжжя,58,запорізька
225,Придніпровський районний суд м. Черкас,58,дніпропетровська
226,Балаклійський районний суд Харківської області,58,харківська
227,Апеляційний суд Харківської області,58,харківська
228,Миколаївський районний суд Львівської області,58,миколаївська
229,Пирятинський районний суд Полтавської області,58,полтавська
230,Апеляційний суд Вінницької області,58,вінницька
231,Ленінський районний суд м. Дніпропетровська,58,дніпропетровська
232,Герцаївський районний суд Чернівецької області,58,чернівецька
233,Баглійський районний суд м. Дніпродзержинська,57,дніпропетровська
234,Приморський районний суд м. Маріуполя,57,донецька
235,Золотоніський міськрайонний суд Черкаської області,57,черкаська
236,Здолбунівський районний суд Рівненської області,57,рівненська
237,Конотопський міськрайонний суд Сумської області,56,сумська
238,Дніпровський апеляційний суд,55,дніпропетровська
239,Ратнівський районний суд Волинської області,55,волинська
240,Крюківський районний суд м. Кременчука,55,полтавська
241,Теофіпольський районний суд Хмельницької області,55,хмельницька
242,Ленінський районний суд м. Запоріжжя,55,запорізька
243,Великоновосілківський районний суд Донецької області,55,донецька
244,Гадяцький районний суд Полтавської області,55,полтавська
245,Апеляційний суд Полтавської області,54,полтавська
246,Козелецький районний суд Чернігівської області,54,чернігівська
247,Ізяславський районний суд Хмельницької області,54,хмельницька
248,Ізмаїльський міськрайонний суд Одеської області,54,одеська
249,Миргородський міськрайонний суд Полтавської області,54,полтавська
250,Приморський районний суд Запорізької області,54,запорізька
251,Баштанський районний суд Миколаївської області,54,миколаївська
252,Корецький районний суд Рівненської області,53,рівненська
253,Синельниківський міськрайонний суд Дніпропетровської області,53,дніпропетровська
254,Черняхівський районний суд Житомирської області,53,житомирська
255,Городоцький районний суд Львівської області,53,львівська
256,П'ятихатський районний суд Дніпропетровської області,53,дніпропетровська
257,Білокуракинський районний суд Луганської області,53,луганська
258,Путивльський районний суд Сумської області,53,сумська
259,Апеляційний суд Житомирської області,52,житомирська
260,Вільнянський районний суд Запорізької області,52,запорізька
261,Троїцький районний суд Луганської області,52,луганська
262,Овруцький районний суд Житомирської області,52,житомирська
263,Бережанський районний суд Тернопільської області,52,тернопільська
264,Заліщицький районний суд Тернопільської області,52,тернопільська
265,Бучацький районний суд Тернопільської області,52,тернопільська
266,Обухівський районний суд Київської області,52,київська
267,Садгірський районний суд м. Чернівців,52,чернівецька
268,Кіровоградський районний суд Кіровоградської області,51,кіровоградська
269,Апеляційний суд Херсонської області,51,херсонська
270,Бродівський районний суд Львівської області,51,львівська
271,Апеляційний суд Миколаївської області,51,миколаївська
272,Первомайський міськрайонний суд Харківської області,51,харківська
273,Глухівський міськрайонний суд Сумської області,51,сумська
274,Покровський районний суд Дніпропетровської області,50,дніпропетровська
275,Ріпкинський районний суд Чернігівської області,50,чернігівська
276,Лебединський районний суд Сумської області,50,сумська
277,Дарницький районний суд м. Києва,49,київ
278,Вижницький районний суд Чернівецької області,49,чернівецька
279,Маньківський районний суд Черкаської області,49,черкаська
280,Монастирищенський районний суд Черкаської області,49,черкаська
281,Богодухівський районний суд Харківської області,49,харківська
282,Компаніївський районний суд Кіровоградської області,48,кіровоградська
283,Перечинський районний суд Закарпатської області,48,закарпатська
284,Михайлівський районний суд Запорізької області,48,запорізька
285,Великомихайлівський районний суд Одеської області,48,одеська
286,Корольовський районний суд м. Житомира,48,житомирська
287,Рокитнівський районний суд Рівненської області,48,рівненська
288,Шумський районний суд Тернопільської області,48,тернопільська
289,Голованівський районний суд Кіровоградської області,48,кіровоградська
290,Міжгірський районний суд Закарпатської області,48,закарпатська
291,Козятинський міськрайонний суд Вінницької області,48,вінницька
292,Апеляційний суд Хмельницької області,48,хмельницька
293,Житомирський районний суд Житомирської області,47,житомирська
294,Орджонікідзевський районний суд м. Харкова,47,харківська
295,Любашівський районний суд Одеської області,47,одеська
296,Ярмолинецький районний суд Хмельницької області,47,хмельницька
297,Первомайський міськрайонний суд Миколаївської області,47,миколаївська
298,Котовський міськрайонний суд Одеської області,47,одеська
299,Оболонський районний суд м. Києва,47,київ
300,Бородянський районний суд Київської області,47,київська
301,Лозівський міськрайонний суд Харківської області,47,харківська
302,Шполянський районний суд Черкаської області,46,черкаська
303,Золочівський районний суд Харківської області,46,харківська
304,Підволочиський районний суд Тернопільської області,46,тернопільська
305,Петриківський районний суд Дніпропетровської області,46,дніпропетровська
306,Глобинський районний суд Полтавської області,46,полтавська
307,Білогірський районний суд Хмельницької області,46,хмельницька
308,Острозький районний суд Рівненської області,45,рівненська
309,Сосницький районний суд Чернігівської області,45,чернігівська
310,Васильківський міськрайонний суд Київської області,45,київська
311,Веселинівський районний суд Миколаївської області,45,миколаївська
312,Краснопільський районний суд Сумської області,45,сумська
313,Жмеринський міськрайонний суд Вінницької області,45,вінницька
314,Іллічівський міський суд Одеської області,45,одеська
315,Великописарівський районний суд Сумської області,44,сумська
316,Львівський апеляційний суд,44,львівська
317,Орджонікідзевський районний суд м. Маріуполя,44,донецька
318,Чигиринський районний суд Черкаської області,43,черкаська
319,Радехівський районний суд Львівської області,43,львівська
320,Апеляційний суд Сумської області,43,сумська
321,Довгинцівський районний суд м. Кривого Рогу,43,дніпропетровська
322,Врадіївський районний суд Миколаївської області,43,миколаївська
323,Володимирецький районний суд Рівненської області,43,рівненська
324,Городищенський районний суд Черкаської області,43,черкаська
325,Бериславський районний суд Херсонської області,43,херсонська
326,Апостолівський районний суд Дніпропетровської області,42,дніпропетровська
327,Татарбунарський районний суд Одеської області,42,одеська
328,Суворовський районний суд м. Одеси,42,одеська
329,Бобринецький районний суд Кіровоградської області,42,кіровоградська
330,Монастириський районний суд Тернопільської області,41,тернопільська
331,Чемеровецький районний суд Хмельницької області,41,хмельницька
332,Полонський районний суд Хмельницької області,41,хмельницька
333,Макарівський районний суд Київської області,41,київська
334,Звенигородський районний суд Черкаської області,41,черкаська
335,Заводський районний суд м. Миколаєва,41,миколаївська
336,Ленінський районний суд м. Полтави,41,полтавська
337,Ленінський районний суд м. Севастополя,41,крим
338,Миколаївський районний суд Миколаївської області,41,миколаївська
339,Гайсинський районний суд Вінницької області,41,вінницька
340,Підгаєцький районний суд Тернопільської області,41,тернопільська
341,Ірпінський міський суд Київської області,40,київська
342,Голосіївський районний суд м. Києва,40,київ
343,Снятинський районний суд Івано-Франківської області,40,івано-Франківська
344,Апеляційний суд Луганської області,40,луганська
345,Заводський районний суд м. Дніпродзержинська,40,дніпропетровська
346,Кремінський районний суд Луганської області,40,луганська
347,Новокаховський міський суд Херсонської області,40,херсонська
348,Очаківський міськрайонний суд Миколаївської області,40,миколаївська
349,Дубенський міськрайонний суд Рівненської області,40,рівненська
350,Франківський районний суд м. Львова,40,львівська
351,Середино-Будський районний суд Сумської області,40,сумська
352,Диканський районний суд Полтавської області,39,полтавська
353,Рубіжанський міський суд Луганської області,39,луганська
354,Центральний районний суд м. Сімферополя,39,крим
355,Першотравневий районний суд Донецької області,39,донецька
356,Межівський районний суд Дніпропетровської області,39,дніпропетровська
357,Пологівський районний суд Запорізької області,39,запорізька
358,Жовтневий районний суд м. Кривого Рогу,39,дніпропетровська
359,Сахновщинський районний суд Харківської області,39,харківська
360,Хмільницький міськрайонний суд Вінницької області,39,вінницька
361,Тульчинський районний суд Вінницької області,39,вінницька
362,Бахмацький районний суд Чернігівської області,39,чернігівська
363,Шевченківський районний суд м. Запоріжжя,39,запорізька
364,Новгородківський районний суд Кіровоградської області,39,кіровоградська
365,Камінь-Каширський районний суд Волинської області,39,волинська
366,Южноукраїнський міський суд Миколаївської області,39,миколаївська
367,Апеляційний суд Автономної Республіки Крим,39,крим
368,Софіївський районний суд Дніпропетровської області,38,дніпропетровська
369,Зміївський районний суд Харківської області,38,харківська
370,Кілійський районний суд Одеської області,38,одеська
371,Шевченківський районний суд Харківської області,38,харківська
372,Смілянський міськрайонний суд Черкаської області,38,черкаська
373,Попільнянський районний суд Житомирської області,38,житомирська
374,Іллінецький районний суд Вінницької області,38,вінницька
375,Березівський районний суд Одеської області,38,одеська
376,Липоводолинський районний суд Сумської області,38,сумська
377,Апеляційний суд Тернопільської області,38,тернопільська
378,Кобеляцький районний суд Полтавської області,37,полтавська
379,Краснолиманський міський суд Донецької області,37,донецька
380,Драбівський районний суд Черкаської області,37,черкаська
381,Віньковецький районний суд Хмельницької області,37,хмельницька
382,Київський районний суд м. Сімферополя,37,київська
383,Старосинявський районний суд Хмельницької області,37,хмельницька
384,Овідіопольський районний суд Одеської області,37,одеська
385,Тростянецький районний суд Сумської області,37,сумська
386,Мар'їнський районний суд Донецької області,37,донецька
387,Тиврівський районний суд Вінницької області,37,вінницька
388,Чаплинський районний суд Херсонської області,37,херсонська
389,Балтський районний суд Одеської області,37,одеська
390,Тернівський районний суд м. Кривого Рогу,37,дніпропетровська
391,Барський районний суд Вінницької області,37,вінницька
392,Петрівський районний суд Кіровоградської області,36,кіровоградська
393,Токмацький районний суд Запорізької області,36,запорізька
394,Нововолинський міський суд Волинської області,36,волинська
395,Буринський районний суд Сумської області,36,сумська
396,Добровеличківський районний суд Кіровоградської області,36,кіровоградська
397,Кременчуцький районний суд Полтавської області,36,полтавська
398,Таращанський районний суд Київської області,36,київська
399,Тарутинський районний суд Одеської області,36,одеська
400,Коростенський міськрайонний суд Житомирської області,36,житомирська
401,Куйбишевський районний суд Запорізької області,36,запорізька
402,Перемишлянський районний суд Львівської області,36,львівська
403,Верховинський районний суд Івано-Франківської області,36,івано-Франківська
404,Арцизький районний суд Одеської області,36,одеська
405,Близнюківський районний суд Харківської області,36,харківська
406,Коростишівський районний суд Житомирської області,36,житомирська
407,Бершадський районний суд Вінницької області,36,вінницька
408,Недригайлівський районний суд Сумської області,35,сумська
409,Марківський районний суд Луганської області,35,луганська
410,Апеляційний суд Чернівецької області,35,чернівецька
411,Деснянський районний суд м. Києва,35,київ
412,Немирівський районний суд Вінницької області,35,вінницька
413,Веселівський районний суд Запорізької області,35,запорізька
414,Кролевецький районний суд Сумської області,35,сумська
415,Демидівський районний суд Рівненської області,35,рівненська
416,Томашпільський районний суд Вінницької області,35,вінницька
417,Іванівський районний суд Одеської області,34,одеська
418,Якимівський районний суд Запорізької області,34,запорізька
419,Іваничівський районний суд Волинської області,34,волинська
420,Воловецький районний суд Закарпатської області,34,закарпатська
421,Гуляйпільський районний суд Запорізької області,34,запорізька
422,Снігурівський районний суд Миколаївської області,34,миколаївська
423,Гайворонський районний суд Кіровоградської області,34,кіровоградська
424,Дворічанський районний суд Харківської області,34,харківська
425,Апеляційний суд Запорізької області,34,запорізька
426,Борівський районний суд Харківської області,34,харківська
427,Гагарінський районний суд м. Севастополя,33,крим
428,Фастівський міськрайонний суд Київської області,33,київська
429,Валківський районний суд Харківської області,33,харківська
430,Корюківський районний суд Чернігівської області,33,чернігівська
431,Срібнянський районний суд Чернігівської області,33,чернігівська
432,Борзнянський районний суд Чернігівської області,33,чернігівська
433,Іванівський районний суд Херсонської області,33,херсонська
434,Гощанський районний суд Рівненської області,33,рівненська
435,Приазовський районний суд Запорізької області,33,запорізька
436,Малинський районний суд Житомирської області,33,житомирська
437,Шаргородський районний суд Вінницької області,33,вінницька
438,Великоолександрівський районний суд Херсонської області,33,херсонська
439,Млинівський районний суд Рівненської області,32,рівненська
440,Томаківський районний суд Дніпропетровської області,32,дніпропетровська
441,Романівський районний суд Житомирської області,32,житомирська
442,Болградський районний суд Одеської області,32,одеська
443,Березнегуватський районний суд Миколаївської області,32,миколаївська
444,Краснокутський районний суд Харківської області,32,харківська
445,Червонозаводський районний суд м. Харкова,32,харківська
446,Дніпровський районний суд м. Києва,32,дніпропетровська
447,Каланчацький районний суд Херсонської області,31,херсонська
448,Дніпровський районний суд м. Херсона,31,херсонська
449,Ставищенський районний суд Київської області,31,київська
450,Центрально-Міський районний суд м. Горлівки,31,донецька
451,Козельщинський районний суд Полтавської області,31,полтавська
452,Баранівський районний суд Житомирської області,31,житомирська
453,Жовтневий районний суд Миколаївської області,30,миколаївська
454,Нововоронцовський районний суд Херсонської області,30,херсонська
455,Долинський районний суд Кіровоградської області,30,кіровоградська
456,Миронівський районний суд Київської області,30,київська
457,Варвинський районний суд Чернігівської області,30,чернігівська
458,Новоушицький районний суд Хмельницької області,30,хмельницька
459,Чутівський районний суд Полтавської області,30,полтавська
460,Жашківський районний суд Черкаської області,30,черкаська
461,Турійський районний суд Волинської області,30,волинська
462,Інгулецький районний суд м. Кривого Рогу,30,дніпропетровська
463,Локачинський районний суд Волинської області,30,волинська
464,Калинівський районний суд Вінницької області,29,вінницька
465,Кам'янський районний суд Черкаської області,29,черкаська
466,Радивилівський районний суд Рівненської області,29,рівненська
467,Переяслав-Хмельницький міськрайонний суд Київської області,29,київська
468,Апеляційний суд Рівненської області,29,рівненська
469,Сквирський районний суд Київської області,28,київська
470,Новоодеський районний суд Миколаївської області,28,миколаївська
471,Тальнівський районний суд Черкаської області,28,черкаська
472,Харцизький міський суд Донецької області,28,донецька
473,Євпаторійський міський суд Автономної Республіки Крим,28,крим
474,Любарський районний суд Житомирської області,28,житомирська
475,Новоархангельський районний суд Кіровоградської області,28,кіровоградська
476,Катеринопільський районний суд Черкаської області,28,черкаська
477,Великоберезнянський районний суд Закарпатської області,28,закарпатська
478,Липовецький районний суд Вінницької області,28,вінницька
479,Ленінський районний суд м. Вінниці,28,вінницька
480,Корабельний районний суд м. Миколаєва,28,миколаївська
481,Летичівський районний суд Хмельницької області,28,хмельницька
482,Менський районний суд Чернігівської області,28,чернігівська
483,Кагарлицький районний суд Київської області,27,київська
484,Апеляційний суд Закарпатської області,27,закарпатська
485,Нахімовський районний суд м. Севастополя,27,крим
486,Андрушівський районний суд Житомирської області,27,житомирська
487,Кегичівський районний суд Харківської області,27,харківська
488,Корсунь-Шевченківський районний суд Черкаської області,27,черкаська
489,Рогатинський районний суд Івано-Франківської області,27,івано-Франківська
490,Єланецький районний суд Миколаївської області,27,миколаївська
491,Юр'ївський районний суд Дніпропетровської області,27,дніпропетровська
492,Ялтинський міський суд Автономної Республіки Крим,27,крим
493,Яремчанський міський суд Івано-Франківської області,27,івано-Франківська
494,Семенівський районний суд Чернігівської області,27,чернігівська
495,Решетилівський районний суд Полтавської області,26,полтавська
496,Турківський районний суд Львівської області,26,львівська
497,Великолепетиський районний суд Херсонської області,26,херсонська
498,Оратівський районний суд Вінницької області,26,вінницька
499,Старовижівський районний суд Волинської області,26,волинська
500,Великобурлуцький районний суд Харківської області,26,волинська
501,Залізничний районний суд м. Сімферополя,26,крим
502,Ленінський районний суд м. Луганськ,26,луганська
503,Гребінківський районний суд Полтавської області,26,полтавська
504,Ширяївський районний суд Одеської області,26,одеська
505,Нижньосірогозький районний суд Херсонської області,26,херсонська
506,Барвінківський районний суд Харківської області,25,харківська
507,Зачепилівський районний суд Харківської області,25,харківська
508,Чернігівський районний суд Запорізької області,25,чернігівська
509,Комсомольський районний суд м. Херсона,25,херсонська
510,Перевальський районний суд Луганської області,25,луганська
511,Устинівський районний суд Кіровоградської області,25,кіровоградська
512,Чернігівський апеляційний суд,25,чернігівська
513,Володарський районний суд Київської області,25,київська
514,Апеляційний суд м. Києва,25,київ
515,Горностаївський районний суд Херсонської області,25,херсонська
516,Світловодський міськрайонний суд Кіровоградської області,25,кіровоградська
517,Богуславський районний суд Київської області,25,київська
518,Ровеньківський міський суд Луганської області,24,луганська
519,Любешівський районний суд Волинської області,24,волинська
520,Керченський міський суд Автономної Республіки Крим,24,крим
521,Погребищенський районний суд Вінницької області,24,вінницька
522,Київський районний суд м. Донецька,24,київська
523,Солонянський районний суд Дніпропетровської області,24,дніпропетровська
524,Тетіївський районний суд Київської області,24,київська
