,courtName,Column,region
0,Луцький міськрайонний суд Волинської області,306,волинська
1,Вінницький міський суд Вінницької області,305,вінницька
2,Тернопільський міськрайонний суд Тернопільської області,266,тернопільська
3,Галицький районний суд м. Львова,266,львівська
4,Рівненський районний суд Рівненської області,245,рівненська
5,Івано-Франківський міський суд Івано-Франківської області,243,івано-Франківська
6,Приморський районний суд м. Одеси,241,одеська
7,Шевченківський районний суд м. Києва,237,київ
8,Ужгородський міськрайонний суд Закарпатської області,225,закарпатська
9,Солом'янський районний суд м. Києва,201,київ
10,Новомосковський міськрайонний суд Дніпропетровської області,189,дніпропетровська
11,Соснівський районний суд м. Черкаси,189,черкаська
12,Малиновський районний суд м. Одеси,189,одеська
13,Дрогобицький міськрайонний суд Львівської області,185,львівська
14,Хмельницький міськрайонний суд Хмельницької області,184,хмельницька
15,Жовківський районний суд Львівської області,175,львівська
16,Рівненський міський суд Рівненської області,173,рівненська
17,Тисменицький районний суд Івано-Франківської області,172,івано-Франківська
18,Яворівський районний суд Львівської області,172,львівська
19,Мукачівський міськрайонний суд Закарпатської області,171,закарпатська
20,Київський районний суд м. Харкова,164,київська
21,Хотинський районний суд Чернівецької області,152,чернівецька
22,Біляївський районний суд Одеської області,152,одеська
23,Заставнівський районний суд Чернівецької області,149,чернівецька
24,Харківський районний суд Харківської області,144,харківська
25,Кам'янець-Подільський міськрайонний суд Хмельницької області,142,хмельницька
26,Шевченківський районний суд м. Чернівців,134,чернівецька
27,Сарненський районний суд Рівненської області,132,рівненська
28,Сторожинецький районний суд Чернівецької області,130,чернівецька
29,Бориспільський міськрайонний суд Київської області,129,київська
30,Дзержинський районний суд м. Харкова,129,харківська
31,Деснянський районний суд м. Чернігова,128,чернігівська
32,Пустомитівський районний суд Львівської області,128,львівська
33,Ковельський міськрайонний суд Волинської області,126,волинська
34,Тячівський районний суд Закарпатської області,125,закарпатська
35,Херсонський міський суд Херсонської області,123,херсонська
36,Святошинський районний суд м. Києва,123,київ
37,Зарічний районний суд м. Суми,123,сумська
38,Бердянський міськрайонний суд Запорізької області,123,запорізька
39,Артемівський міськрайонний суд Донецької області,123,донецька
40,Калуський міськрайонний суд Івано-Франківської області,122,івано-Франківська
41,Дніпропетровський районний суд Дніпропетровської області,122,дніпропетровська
42,Новозаводський районний суд м. Чернігова,121,чернігівська
43,Ковпаківський районний суд м. Суми,120,сумська
44,Голопристанський районний суд Херсонської області,119,херсонська
45,Сокирянський районний суд Чернівецької області,119,чернівецька
46,Білоцерківський міськрайонний суд Київської області,118,київська
47,Біловодський районний суд Луганської області,117,луганська
48,Старобільський районний суд Луганської області,115,луганська
49,Лисичанський міський суд Луганської області,114,луганська
50,Першотравневий районний суд м. Чернівців,114,чернівецька
51,Жовтневий районний суд м. Маріуполя,113,донецька
52,Самбірський міськрайонний суд Львівської області,113,львівська
53,Новоселицький районний суд Чернівецької області,113,чернівецька
54,Стрийський міськрайонний суд Львівської області,112,львівська
55,Костянтинівський міськрайонний суд Донецької області,112,донецька
56,Білгород-Дністровський міськрайонний суд Одеської області,112,одеська
57,Сихівський районний суд м. Львова,112,львівська
58,Шевченківський районний суд м. Львова,112,львівська
59,Криворізький районний суд Дніпропетровської області,111,дніпропетровська
60,Київський районний суд м. Одеси,109,київська
61,Генічеський районний суд Херсонської області,108,херсонська
62,Слов'янський міськрайонний суд Донецької області,107,донецька
63,Ленінський районний суд м. Миколаєва,107,миколаївська
64,Глибоцький районний суд Чернівецької області,106,чернівецька
65,Печерський районний суд м. Києва,105,київ
66,Жовтневий районний суд м. Дніпропетровська,104,дніпропетровська
67,Залізничний районний суд м. Львова,103,львівська
68,Сєверодонецький міський суд Луганської області,102,донецька
69,Нікопольський міськрайонний суд Дніпропетровської області,102,дніпропетровська
70,Надвірнянський районний суд Івано-Франківської області,101,івано-Франківська
71,Верхньодніпровський районний суд Дніпропетровської області,101,дніпропетровська
72,Попаснянський районний суд Луганської області,100,луганська
73,Орджонікідзевський районний суд м. Запоріжжя,99,запорізька
74,Ківерцівський районний суд Волинської області,99,волинська
75,Київський районний суд м. Полтави,98,київська
76,Апеляційний суд Дніпропетровської області,98,дніпропетровська
77,Костопільський районний суд Рівненської області,98,рівненська
78,Краматорський міський суд Донецької області,98,донецька
79,Тлумацький районний суд Івано-Франківської області,96,івано-Франківська
80,Полтавський районний суд Полтавської області,96,полтавська
81,Золочівський районний суд Львівської області,96,львівська
